month,year,month_number,start_date,end_date,bank_name,no_atms_on_site,no_atms_off_site,no_pos_on_line,no_pos_off_line,no_credit_cards,no_credit_card_atm_txn,no_credit_card_pos_txn,no_credit_card_atm_txn_value_in_mn,no_credit_card_pos_txn_value_in_mn,no_debit_cards,no_debit_card_atm_txn,no_debit_card_pos_txn,no_debit_card_atm_txn_value_in_mn,no_debit_card_pos_txn_value_in_mn
November,2011,11,01-11-2011,30-11-2011,BANK OF BARODA,1242,580,4332,0,70776,2046,72198,1.5,190.4,7307099,6715369,462172,25166.7,695.3
November,2011,11,01-11-2011,30-11-2011,STATE BANK OF INDIA,11894,9731,0,0,2124747,21969,3111008,101.47,6030.76,84954000,150942000,5076000,402888,7461.3
November,2011,11,01-11-2011,30-11-2011,HDFC BANK LTD,3301,3537,160689,0,5428560,60670,6398578,382.017,21076.6,14636241,22853025,5691266,94313.5,8481.43
November,2011,11,01-11-2011,30-11-2011,ICICI BANK LTD,2984,4432,143700,4335,2956176,8414,4241764,45.0255,9534.98,15542959,23584485,4265145,102347,7022.6
November,2011,11,01-11-2011,30-11-2011,AXIS BANK LTD,1856,6236,191982,0,711768,8177,726776,23.277,1927.8,11472497,43710716,2469012,99702.3,4103.9
October,2011,10,01-10-2011,31-10-2011,BANK OF BARODA,1232,582,4360,0,70843,1715,80948,1.6,223.3,7156478,7114838,507555,27547.1,923.2
October,2011,10,01-10-2011,31-10-2011,STATE BANK OF INDIA,11894,9731,0,0,2112399,22766,3422634,103.509,7396.86,83188000,165870000,5522000,436933,10237.1
October,2011,10,01-10-2011,31-10-2011,HDFC BANK LTD,3263,3437,154854,0,5379671,62491,7159652,393.847,24619.6,14391592,25082453,6254422,104919,10038.9
October,2011,10,01-10-2011,31-10-2011,ICICI BANK LTD,2956,4188,140824,4192,2996874,9051,4742669,47.3351,11952,15902251,25654707,5209877,112730,9880.07
October,2011,10,01-10-2011,31-10-2011,AXIS BANK LTD,1835,5991,191379,0,702149,8562,781562,25.353,2210.92,11205040,47596452,2749498,105826,5370.22
September,2011,9,01-09-2011,30-09-2011,BANK OF BARODA,1215,585,4393,0,70851,2631,69725,0.8,184.9,7715488,5806952,396462,21145.7,627.4
September,2011,9,01-09-2011,30-09-2011,STATE BANK OF INDIA,11894,9731,0,0,2107105,22008,2980112,96.0091,5909.21,81796000,147711000,5029000,380441,7321
September,2011,9,01-09-2011,30-09-2011,HDFC BANK LTD,3222,3298,149950,0,5374542,56990,6248345,341.774,19994.2,14138219,22415249,5270180,90842.4,7450.24
September,2011,9,01-09-2011,30-09-2011,ICICI BANK LTD,2943,3970,138524,4133,3025176,8346,4230492,44.443,9598.16,16231163,23600035,4335292,100026,6881.49
September,2011,9,01-09-2011,30-09-2011,AXIS BANK LTD,1826,5765,190860,0,682791,8364,692255,24.0624,1805.11,11007770,42027635,2339732,93082.9,3965.6
August,2011,8,01-08-2011,31-08-2011,BANK OF BARODA,1217,582,4364,0,71367,2863,80650,9,205.7,6870992,6421457,449568,23596.6,700.3
August,2011,8,01-08-2011,31-08-2011,STATE BANK OF INDIA,11758,9677,0,0,2093907,22483,3233804,103.249,6443.44,83997000,151138000,5185000,394416,8256.9
August,2011,8,01-08-2011,31-08-2011,HDFC BANK LTD,3197,3172,144251,0,5352280,59710,6697422,351.402,20895.6,13911500,22452495,5523811,91654.1,8096.91
August,2011,8,01-08-2011,31-08-2011,ICICI BANK LTD,2934,3820,146529,4045,3038046,8878,4686780,45.915,10699.3,16284369,23847778,4825031,102941,8030.42
August,2011,8,01-08-2011,31-08-2011,AXIS BANK LTD,1810,5501,190338,0,671524,7552,721447,22.6268,1856.63,10872350,41947019,2524573,92872.1,4341.6
July,2011,7,01-07-2011,31-07-2011,BANK OF BARODA,1206,579,4365,0,71621,2800,79112,1.2,213.7,6719673,6422908,420933,23467.8,640.2
July,2011,7,01-07-2011,31-07-2011,STATE BANK OF INDIA,11412,9555,0,0,2083890,21316,2960077,97.6072,5752.57,78883000,151958000,4885000,400427,7517.9
July,2011,7,01-07-2011,31-07-2011,HDFC BANK LTD,3141,3061,138373,0,5275750,53651,6230129,313.049,19847.7,13632717,22550312,5629294,91712.7,8120.95
July,2011,7,01-07-2011,31-07-2011,ICICI BANK LTD,2917,3666,184725,4015,3120228,8656,4351180,46.5464,9600.86,16319078,24112296,4510541,103885,7186.4
July,2011,7,01-07-2011,31-07-2011,AXIS BANK LTD,1809,5306,189218,0,657679,7274,640076,22.071,1613.82,10678793,41059964,2274488,90867.1,3841.9
June,2011,6,01-06-2011,30-06-2011,BANK OF BARODA,1087,570,4343,0,71792,3157,71772,3,199.3,6578257,6161846,347077,22745.4,552.6
June,2011,6,01-06-2011,30-06-2011,STATE BANK OF INDIA,11132,9318,0,0,2068948,20134,2828490,90.3381,5524.52,76977000,141650000,4753000,387198,6614
June,2011,6,01-06-2011,30-06-2011,HDFC BANK LTD,3068,2930,134114,0,5177786,52384,5700902,306.63,18606.5,13733568,21387996,4877210,86995,7128.41
June,2011,6,01-06-2011,30-06-2011,ICICI BANK LTD,2867,3558,182551,3949,3194674,8948,4153628,46.1352,9322.74,16340328,23623639,4054158,101054,6599.02
June,2011,6,01-06-2011,30-06-2011,AXIS BANK LTD,1784,5087,187142,0,648346,7201,589455,22.7216,1498.36,10510389,38154334,2085447,86393.3,3597.73
May,2011,5,01-05-2011,31-05-2011,BANK OF BARODA,1044,563,4513,0,72032,2953,74379,3.2,212.7,6443043,6423411,371508,23950.5,629.2
May,2011,5,01-05-2011,31-05-2011,STATE BANK OF INDIA,10967,9318,0,0,2059392,21343,2957662,96.0485,6117.24,75488000,144580000,4613000,391778,7695.1
May,2011,5,01-05-2011,31-05-2011,HDFC BANK LTD,2957,2839,128924,0,5099106,53220,5873844,311.896,20188.9,13465958,21851725,4972650,88963.7,7642.98
May,2011,5,01-05-2011,31-05-2011,ICICI BANK LTD,2734,3567,180655,3880,3266549,9658,4560952,51.4632,10751.3,16143713,27290567,4281904,119925,7432.49
May,2011,5,01-05-2011,31-05-2011,AXIS BANK LTD,1769,4818,186783,0,640926,6811,602385,22.4261,1614.93,10330392,39281481,2173612,90972.1,3970.89
April,2011,4,01-04-2011,30-04-2011,BANK OF BARODA,1018,561,4537,0,70221,3050,70341,3.2,195.2,6313713,6074724,329175,22062.5,533.4
April,2011,4,01-04-2011,30-04-2011,STATE BANK OF INDIA,10962,9318,0,0,2088515,21508,2737188,95.6024,5482.24,73134000,144809000,4219000,367726,6616.2
April,2011,4,01-04-2011,30-04-2011,HDFC BANK LTD,2837,2787,125179,0,5089800,50701,5344558,298.969,17822.8,13207311,21263901,4606216,85278.8,6873.01
April,2011,4,01-04-2011,30-04-2011,ICICI BANK LTD,2724,3467,178960,3861,3361684,9256,4088258,47.5939,9238.91,16041986,24485090,3908668,105031,6478.02
April,2011,4,01-04-2011,30-04-2011,AXIS BANK LTD,1745,4595,186708,0,634499,6432,569770,20.7131,1455.11,10165381,39149622,1980268,87918.6,3433.02
December,2011,12,01-12-2011,31-12-2011,BANK OF BARODA,1251,587,4340,248,70686,1003,80301,3.4,209.9,7460813,9687594,507771,24879.2,778.3
December,2011,12,01-12-2011,31-12-2011,STATE BANK OF INDIA,11971,9803,0,0,2145084,22426,3327385,105.409,6695.65,86508000,162978000,5643000,433886,8840.9
December,2011,12,01-12-2011,31-12-2011,HDFC BANK LTD,3363,3747,166145,0,5496726,64080,7163111,407.364,23390,13722502,24876045,5510860,102816,8558.88
December,2011,12,01-12-2011,31-12-2011,ICICI BANK LTD,2991,4611,144906,4526,2892502,8039,4376919,42.5906,10041.6,15696191,25609879,4838468,111464,8100.93
December,2011,12,01-12-2011,31-12-2011,AXIS BANK LTD,1463,6861,193838,0,723403,7667,809061,24.4,2191,11785316,47773303,2704309,109941,4576.3
January,2012,1,01-01-2012,31-01-2012,BANK OF BARODA,1275,600,4140,410,70148,955,75988,3.25859,198.107,7631818,7212245,555922,27390.6,855.2
January,2012,1,01-01-2012,31-01-2012,STATE BANK OF INDIA,11971,9803,0,0,2170566,25194,3531876,111.977,7188.87,87972000,162381000,5997000,430860,9246.3
January,2012,1,01-01-2012,31-01-2012,HDFC BANK LTD,3463,3883,172475,0,5568418,65392,7589316,410.728,24481.2,13918980,24071217,5488282,100021,8516.12
January,2012,1,01-01-2012,31-01-2012,ICICI BANK LTD,2999,4953,151976,4874,2868629,9100,4885062,47.3421,11280.9,15954381,24740449,5052612,107439,8507.15
January,2012,1,01-01-2012,31-01-2012,AXIS BANK LTD,1487,6988,196143,0,736578,7144,887338,21.8,2328.7,12030692,48058836,2876972,110343,4862.6
February,2012,2,01-02-2012,29-02-2012,BANK OF BARODA,1322,611,4310,248,67785,948,74278,3.32896,194.104,7799438,6939684,530848,26908.6,759.4
February,2012,2,01-02-2012,29-02-2012,STATE BANK OF INDIA,11971,9803,0,0,2198742,43404,3219979,117.813,6544.43,89402000,158268000,5713000,422697,7971.4
February,2012,2,01-02-2012,29-02-2012,HDFC BANK LTD,3641,3993,177288,0,5595199,64665,6711082,413.48,23089,14158558,23767676,5158212,99859,7607.8
February,2012,2,01-02-2012,29-02-2012,ICICI BANK LTD,3010,5330,153509,5302,2860560,8006,4231777,42.2053,9691.12,16164470,23895310,4350470,104669,7122.1
February,2012,2,01-02-2012,29-02-2012,AXIS BANK LTD,1517,7227,198297,0,750914,5759,824036,17.7288,2273.59,12266063,47988154,2595259,109571,4226.1
March,2012,3,01-03-2012,31-03-2012,BANK OF BARODA,1372,640,4296,248,69529,959,79224,3.5,206,7968242,7735365,578914,30067.6,783.8
March,2012,3,01-03-2012,31-03-2012,STATE BANK OF INDIA,12198,9943,0,0,2225141,29110,3517581,140,7110,90978000,173401000,6287000,452028,8439.6
March,2012,3,01-03-2012,31-03-2012,HDFC BANK LTD,3823,5090,183769,0,5602439,68877,7443931,440,25100,14293166,26397135,5725396,111430,8270
March,2012,3,01-03-2012,31-03-2012,ICICI BANK LTD,3032,5974,155879,5483,2844705,8668,4416638,50,10180,16364517,26468981,4698492,116840,7610
March,2012,3,01-03-2012,31-03-2012,AXIS BANK LTD,2058,7866,202316,0,778885,7768,948032,23.3263,2748.92,12499090,47803047,2837151,107912,4461.3
April,2012,4,01-04-2012,30-04-2012,BANK OF BARODA,1381,646,4264,248,69396,933,78954,3.3,218.1,8107169,7579304,579954,29994,850.3
April,2012,4,01-04-2012,30-04-2012,STATE BANK OF INDIA,12246,9988,0,0,2253422,27387,3584436,12.5466,7647.95,92377000,169098000,5743000,456284,8777.4
April,2012,4,01-04-2012,30-04-2012,HDFC BANK LTD,3850,5223,183331,0,5649796,69360,7616056,445.027,25981.2,14495275,25450308,5768433,107128,8783.64
April,2012,4,01-04-2012,30-04-2012,ICICI BANK LTD,3041,6175,160745,5634,2833357,8876,4724850,46.5991,11310.4,16468894,25436148,5375808,112215,9414.76
April,2012,4,01-04-2012,30-04-2012,AXIS BANK LTD,2070,8063,202712,0,787352,7300,995431,21.4267,2921.15,12688593,40279807,2930960,93086.2,4899.2
May,2012,5,01-05-2012,31-05-2012,BANK OF BARODA,1410,662,4117,248,69044,897,79979,3.2,212.7,8261179,7950871,611434,31299.9,873.6
May,2012,5,01-05-2012,31-05-2012,STATE BANK OF INDIA,12325,10057,0,0,2287605,28159,3752198,128.105,7828.96,93710000,170184000,6123000,471231,9009.8
May,2012,5,01-05-2012,31-05-2012,HDFC BANK LTD,3873,5460,184343,0,5719770,69202,7694073,442.953,26097.7,14777535,26683750,5954437,112557,8856.62
May,2012,5,01-05-2012,31-05-2012,ICICI BANK LTD,3070,6283,162737,5728,2822328,8316,4657925,43.7146,10952.7,16647338,26389773,5482796,115357,9490.85
May,2012,5,01-05-2012,31-05-2012,AXIS BANK LTD,2074,8208,202981,0,803812,7524,1031109,22,2987.2,12945814,42284207,3037791,97575.9,4933.1
June,2012,6,01-06-2012,30-06-2012,BANK OF BARODA,1449,681,4062,0,68649,908,82164,3,220.4,8425637,7825447,633853,31462,893.4
June,2012,6,01-06-2012,30-06-2012,STATE BANK OF INDIA,12327,10142,0,0,2321906,27308,3750132,124.945,7707.49,96263000,166292000,6567000,480831,9369.3
June,2012,6,01-06-2012,30-06-2012,HDFC BANK LTD,3905,5804,191161,0,5798919,71951,7728750,473.411,25489.8,15066441,26737013,6140501,113880,9030.61
June,2012,6,01-06-2012,30-06-2012,ICICI BANK LTD,3074,6292,164786,5875,2821023,8281,4461879,41.891,10415.6,16847873,25638070,5629927,112469,9460.8
June,2012,6,01-06-2012,30-06-2012,AXIS BANK LTD,2096,8241,204072,0,824410,6859,1028537,20.1,2975.6,13050960,24670694,3046754,102296,4955.5
July,2012,7,01-07-2012,31-07-2012,BANK OF BARODA,1477,695,4047,0,68325,964,88809,3.4,225.2,8610951,7963797,686496,31388.4,962.48
July,2012,7,01-07-2012,31-07-2012,STATE BANK OF INDIA,12385,10145,0,0,2353687,28560,4249580,131.958,8881.34,96960000,173025000,7591000,477196,10586.1
July,2012,7,01-07-2012,31-07-2012,HDFC BANK LTD,3951,6128,198837,0,5881376,75071,8807388,479.608,28186.6,15364694,27392214,6661628,115557,9744.92
July,2012,7,01-07-2012,31-07-2012,ICICI BANK LTD,3041,6365,168329,6101,2802935,8286,5183197,42.5743,11808.4,17064450,26438082,6456742,114754,10847.8
July,2012,7,01-07-2012,31-07-2012,AXIS BANK LTD,2116,8241,205875,0,847970,6859,1192923,21.1049,3419.22,12904005,25321252,3370675,106508,5468.2
August,2012,8,01-08-2012,31-08-2012,BANK OF BARODA,1495,705,4011,0,68191,1191,89629,4.3,223.4,8787983,7981760,747083,30916,1026.1
August,2012,8,01-08-2012,31-08-2012,STATE BANK OF INDIA,12501,10152,0,0,2390367,30457,4265857,140,8940,98440000,167812000,7881000,455800,10757.1
August,2012,8,01-08-2012,31-08-2012,HDFC BANK LTD,3975,6260,206040,0,5942140,77691,8696648,500,27540,15637069,27750467,6812214,116560,9980
August,2012,8,01-08-2012,31-08-2012,ICICI BANK LTD,3130,6368,172766,6101,2799271,8327,4920122,40,11330,17283475,26282357,6423560,113340,10790
August,2012,8,01-08-2012,31-08-2012,AXIS BANK LTD,2139,8156,208027,0,871589,7353,1220120,20.7,3584.2,13126277,25283853,3453263,108107,5529.8
September,2012,9,01-09-2012,30-09-2012,BANK OF BARODA,1449,681,3603,0,68174,856,83241,3.2,217.3,8993722,8013493,680760,30628.7,936.589
September,2012,9,01-09-2012,30-09-2012,STATE BANK OF INDIA,12556,10211,21533,0,2420302,29755,3943216,138.367,8520,100035000,165265000,8037000,451729,11822.6
September,2012,9,01-09-2012,30-09-2012,HDFC BANK LTD,4008,6308,210781,0,6007467,72580,8241125,470.484,26767.7,15065007,28055076,6696787,117963,9775.69
September,2012,9,01-09-2012,30-09-2012,ICICI BANK LTD,3134,6872,176719,6291,2793705,7318,4512865,39.4306,10389.7,17468719,25388413,6064505,107383,9787.73
September,2012,9,01-09-2012,30-09-2012,AXIS BANK LTD,2153,8144,208164,0,901921,7343,1176203,21.5014,3557.1,13329015,25160036,3200786,105517,5044.4
April,2012,4,01-04-2012,30-04-2012,BANK OF BARODA,2027,0,1381,646,4264,248,4512,69396,933,78954,3.3,218.1,8107169,7579304
April,2012,4,01-04-2012,30-04-2012,STATE BANK OF INDIA,22234,0,12246,9988,0,0,0,2253422,27387,3584436,125.466,7647.95,92377000,169098000
April,2012,4,01-04-2012,30-04-2012,HDFC BANK LTD,9073,0,3850,5223,183331,0,148059,5649796,69360,7616056,445.027,25981.2,14495275,25450308
April,2012,4,01-04-2012,30-04-2012,ICICI BANK LTD,9216,0,3041,6175,160745,5634,137680,2833357,8876,4724850,46.5991,11310.4,16468894,25436148
April,2012,4,01-04-2012,30-04-2012,AXIS BANK LTD,10133,0,2070,8063,202712,0,155657,787352,7300,995431,21.4267,2921.15,12688593,40279807
November,2012,11,01-11-2012,30-11-2012,BANK OF BARODA,1548,721,3478,0,68426,856,91007,3.8,246.3,9350775,8417130,822545,34987.3,1284.494083
November,2012,11,01-11-2012,30-11-2012,STATE BANK OF INDIA,13166,10687,30783,0,2475812,29789,4566200,140.211,10675.48895,103446000,170901000,8130000,501174,13943.1
November,2012,11,01-11-2012,30-11-2012,HDFC BANK LTD,4077,6392,225115,0,6144804,73954,9105057,489.204,32389.20863,14653719,29643759,7223385,130733,12021.80221
November,2012,11,01-11-2012,30-11-2012,ICICI BANK LTD,3249,6781,183993,6519,2771657,7814,5025404,39.2849,12747.8644,17770962,27808172,6887108,126076,13082.21771
November,2012,11,01-11-2012,30-11-2012,AXIS BANK LTD,2182,8168,211886,0,966884,8481,1422861,28.1647,4423.1,13660782,26205462,3770423,115169,6990
December,2012,12,01-12-2012,31-12-2012,BANK OF BARODA,1552,736,5418,0,68344,1237,93874,3.9,236.2,9555947,8650455,889626,34759.3,1245.931693
December,2012,12,01-12-2012,31-12-2012,STATE BANK OF INDIA,13696,11056,33759,0,2502860,30836,4768659,140,10370,105104000,175302000,8687000,500828,12982.7
December,2012,12,01-12-2012,31-12-2012,HDFC BANK LTD,4124,6366,230973,0,6208875,77124,9883168,500,32580,14897289,30429476,7566251,132100,11650
December,2012,12,01-12-2012,31-12-2012,ICICI BANK LTD,3261,6779,188140,6599,2824532,8347,5319875,41.2,12632.7,18006486,28381632,7410856,126600,12510
December,2012,12,01-12-2012,31-12-2012,AXIS BANK LTD,2194,8169,212765,0,1003798,9629,1619422,29.6,4510.4,13635187,26163589,3818407,111168,6202.3
January,2013,1,01-01-2013,31-01-2013,BANK OF BARODA,1590,762,5436,0,78380,1336,95378,4.4,237.5,9743170,8714425,899802,35567.1,1265.15
January,2013,1,01-01-2013,31-01-2013,STATE BANK OF INDIA,14203,11472,39745,0,2520140,30753,4949078,150,10960,106997000,177053000,9109000,508098,13902.4
January,2013,1,01-01-2013,31-01-2013,HDFC BANK LTD,4197,6386,236926,0,6263856,78076,10100812,501.111,33375,15195073,28789331,7411651,125726,11383.2
January,2013,1,01-01-2013,31-01-2013,ICICI BANK LTD,3284,6756,187728,6689,2840802,8049,5375704,39.2,12880.8,18247453,27970119,7208651,125268,12243.2
January,2013,1,01-01-2013,31-01-2013,AXIS BANK LTD,2228,8163,214248,0,1036206,9428,1683222,30,4719.9,13958530,25994554,3840446,109202,6463.7
February,2013,2,01-02-2013,28-02-2013,BANK OF BARODA,1638,783,5446,0,80073,1136,85093,3.9,211,9965654,8206317,848462,33532.7,1095.49
February,2013,2,01-02-2013,28-02-2013,STATE BANK OF INDIA,14529,11735,48053,0,2544799,31381,4397023,160,9970,108666000,166975000,9023000,476511,11773.3
February,2013,2,01-02-2013,28-02-2013,HDFC BANK LTD,4254,6349,240727,0,6357237,69915,9160742,460.512,30087.1,15488194,27289943,6972023,119244,10205.9
February,2013,2,01-02-2013,28-02-2013,ICICI BANK LTD,3295,6762,187728,6689,2841337,7029,4564622,34.3,10677.5,18461001,26141359,6628304,117037,10839
February,2013,2,01-02-2013,28-02-2013,AXIS BANK LTD,2274,8255,214338,0,1070576,8632,1527107,28.2,4699.2,14151358,24105785,3538122,103314,5652.6
April,2013,4,01-04-2013,30-04-2013,BANK OF BARODA,1865,837,5499,0,80407,1323,90690,4.6,226.7,10477823,9534000,981716,40061.5,1373.59
April,2013,4,01-04-2013,30-04-2013,STATE BANK OF INDIA,15648,12626,74672,0,2598509,33560,5039611,160,12690,112240629,193041000,9941000,562598,16314.1
April,2013,4,01-04-2013,30-04-2013,HDFC BANK LTD,4410,6461,241246,0,6532818,82730,10374501,542.794,35837.4,16000583,30450447,7539002,133990,11767.9
April,2013,4,01-04-2013,30-04-2013,ICICI BANK LTD,3333,7263,238410,7008,2875459,8150,5241129,39.4,13941.7,18741998,28730671,7394571,131176,12962.2
April,2013,4,01-04-2013,30-04-2013,AXIS BANK LTD,2331,8908,216782,0,1108444,9214,1936645,31.7735,5845.47,14512108,26654823,4040047,113442,6884.85
March,2013,3,01-03-2013,31-03-2013,BANK OF BARODA,1790,840,5485,0,80208,1361,92784,4.5,231.2,10248562,9478057,943652,38256.1,1159.78
March,2013,3,01-03-2013,31-03-2013,STATE BANK OF INDIA,15037,12138,65514,0,2572777,34924,4713204,180,10750,110444000,190639000,10025000,535634,12531.8
March,2013,3,01-03-2013,31-03-2013,HDFC BANK LTD,4344,6399,242823,0,6557564,80587,10014020,533.131,32827.4,15758792,32680814,7994779,144152,11612.9
March,2013,3,01-03-2013,31-03-2013,ICICI BANK LTD,3322,7159,190973,6879,2866278,7746,5160914,40,12000,18583196,30461141,7395395,136000,11720
March,2013,3,01-03-2013,31-03-2013,AXIS BANK LTD,2297,8948,215646,0,1100895,8603,1685713,30.5,5682.7,14291676,27448471,3800629,116659,5714.7
May,2013,5,01-05-2013,31-05-2013,BANK OF BARODA,1923,856,5517,0,36703,1356,92388,4.7,233,10676082,9790800,1816295,41218.6,2604.82
May,2013,5,01-05-2013,31-05-2013,STATE BANK OF INDIA,16102,12994,82944,0,2625799,32674,5145442,160.935,12744.6,114198000,193282000,10015000,577399,15487.2
May,2013,5,01-05-2013,31-05-2013,HDFC BANK LTD,4486,6513,240890,0,6557548,82371,12497356,534.7,36736,16276037,31019823,7954381,135910,12238.8
May,2013,5,01-05-2013,31-05-2013,ICICI BANK LTD,3358,7407,242138,8865,2890772,8667,5493926,40.5,13671,18964754,29986378,7665669,137290,13253.1
May,2013,5,01-05-2013,31-05-2013,AXIS BANK LTD,2370,8877,218641,0,1107062,8606,1915130,31.1,5793.7,13992571,27017762,4007994,114931,6706.6
June,2013,6,01-06-2013,30-06-2013,BANK OF BARODA,2053,947,5570,0,79835,1238,95486,4.4,237.4,10859040,9233796,1946282,37931.8,2511.05
June,2013,6,01-06-2013,30-06-2013,STATE BANK OF INDIA,16674,13228,86617,0,2647693,33114,4896324,162.74,11611.5,116554000,183651000,10167000,545228,13893.2
June,2013,6,01-06-2013,30-06-2013,HDFC BANK LTD,4524,6564,245842,0,5940221,74540,12123119,497.315,33502.7,16572816,29926032,8064170,129721,11721.5
June,2013,6,01-06-2013,30-06-2013,ICICI BANK LTD,3421,7481,247339,8955,2954339,7003,5324969,30,12190,19203081,29252990,7596504,132150,11910
June,2013,6,01-06-2013,30-06-2013,AXIS BANK LTD,2386,9102,220616,0,1115425,7441,1867138,26.8,5786,14207177,26150035,3995834,110499,6127.9
July,2013,7,01-07-2013,31-07-2013,BANK OF BARODA,2219,999,5727,0,69913,1334,102798,4.5,243.9,11114420,9696101,1120983,39655,1360.71
July,2013,7,01-07-2013,31-07-2013,HDFC BANK LTD,4551,6614,246466,0,5467159,77671,13668380,507.565,35569.8,16497767,29604822,8263067,126564,11838.7
July,2013,7,01-07-2013,31-07-2013,ICICI BANK LTD,3527,7468,254322,9074,2981900,7557,6185634,40,13870,19587375,29311862,8671624,131240,13730
July,2013,7,01-07-2013,31-07-2013,AXIS BANK LTD,2390,9202,223971,0,1131877,8739,2271077,31.5382,6794.15,14408258,26417778,4687777,110419,7397.19
August,2013,8,01-08-2013,31-08-2013,BANK OF BARODA,3707,0,2505,1202,6402,0,70641,1349,103950,4.6,240.8,11346297,9898360,1326542
August,2013,8,01-08-2013,31-08-2013,STATE BANK OF INDIA,31749,0,17804,13945,101469,0,2701566,39043,5495472,190.653,13028.7,121463000,194442000,12991000
August,2013,8,01-08-2013,31-08-2013,HDFC BANK LTD,11150,0,4577,6573,239485,0,5019733,78473,13673238,519.938,35374,16457562,30188775,8820651
August,2013,8,01-08-2013,31-08-2013,ICICI BANK LTD,11058,0,3575,7483,257233,9156,2997260,6999,5841317,34.88,13012,20072379,29688271,8935213
September,2013,9,01-09-2013,30-09-2013,BANK OF BARODA,2776,1325,6807,0,70926,1290,97505,4.2,229.6,11604384,9868349,1323830,38895,1472.82
September,2013,9,01-09-2013,30-09-2013,HDFC BANK LTD,4607,6570,233740,0,5042297,74207,13254814,499.071,34870.1,16839269,29634445,8112916,124485,11416.8
September,2013,9,01-09-2013,30-09-2013,ICICI BANK LTD,3618,7480,261359,9248,3026665,7179,5976375,35.15,13217.7,20402458,30502832,8578230,132020,12920
September,2013,9,01-09-2013,30-09-2013,AXIS BANK LTD,2407,9389,236283,0,1173992,9777,2229233,35.7,6671.4,14691684,26590395,4602778,109578,6784.35
October,2013,10,01-10-2013,31-10-2013,BANK OF BARODA,3067,1436,7164,0,70478,1334,107722,4.4,268,12051502,11115540,1250675,46187.1,1591.4
October,2013,10,01-10-2013,31-10-2013,STATE BANK OF INDIA,18937,14881,110287,0,2738488,41017,5774647,207.685,14675.4,124741000,213221000,11627000,599142,17444.3
October,2013,10,01-10-2013,31-10-2013,HDFC BANK LTD,4634,6616,221100,0,5078034,74692,14143046,514.627,39176.7,17069491,32551612,8870976,140780,13905.1
October,2013,10,01-10-2013,31-10-2013,ICICI BANK LTD,3666,7469,227509,9315,3042232,7263,6433087,36.3,14690.8,20686662,33219639,9080921,148674,15006.5
October,2013,10,01-10-2013,31-10-2013,AXIS BANK LTD,2414,9478,238904,0,1227538,14761,2440814,52.1219,8088.64,13214787,29193369,4913204,123327,7910.12
November,2013,11,01-11-2013,30-11-2013,BANK OF BARODA,3294,1569,7584,0,71063,1323,101873,4.5,255.2,12465979,10224683,1161613,41966.8,1534.1
November,2013,11,01-11-2013,30-11-2013,STATE BANK OF INDIA,19687,15475,114406,0,2758042,42082,5439913,207.328,14069.2,127248000,203335000,11071000,584960,17048.8
November,2013,11,01-11-2013,30-11-2013,HDFC BANK LTD,4651,6694,223006,0,5117856,69096,13197140,467.465,37382.5,17297969,30426316,8425986,131875,13575.4
November,2013,11,01-11-2013,30-11-2013,ICICI BANK LTD,3692,7483,228686,9441,3094705,6633,5819504,31.6,13245.2,21014427,31328329,8783452,139124,15045
November,2013,11,01-11-2013,30-11-2013,AXIS BANK LTD,2430,9596,240150,0,1308672,13370,2257072,32.7319,7354.18,13590074,26774689,4608309,113823,7629.31
January,2014,1,01-01-2014,31-01-2014,BANK OF BARODA,3897,1708,9397,0,73263,1759,110502,5.3,271.2,13074332,11250311,1267107,46126.7,1582.4
January,2014,1,01-01-2014,31-01-2014,STATE BANK OF INDIA,20844,17549,114977,0,2805281,46101,5745208,209.148,15084.2,116827184,224013823,12303532,613484,18378.4
January,2014,1,01-01-2014,31-01-2014,HDFC BANK LTD,4685,6830,225086,0,5091024,83387,14463694,535.646,41477.8,17532616,30873218,8024823,134486,12402.3
January,2014,1,01-01-2014,31-01-2014,ICICI BANK LTD,3798,7448,273344,9694,3180401,8782,6614963,48,16846.1,21613061,32232448,8873491,143560,14752.6
January,2014,1,01-01-2014,31-01-2014,AXIS BANK LTD,2466,10125,243492,0,1324790,19097,2512726,66.454,8754.14,13541453,26907195,4676270,116188,7820.3
December,2013,12,01-12-2013,31-12-2013,BANK OF BARODA,3493,1628,8446,0,71921,1444,107455,4.5,259.9,12734620,10829774,1169538,43676.7,1386.82
December,2013,12,01-12-2013,31-12-2013,STATE BANK OF INDIA,20351,16389,113999,0,2777392,49103,5762489,226.602,14870.2,114004780,216277000,11958000,605819,17385.4
December,2013,12,01-12-2013,31-12-2013,HDFC BANK LTD,4675,6798,225144,0,5070574,81197,14433225,532.681,40427,17426713,31775652,7694636,136517,12222
December,2013,12,01-12-2013,31-12-2013,ICICI BANK LTD,3761,7454,269296,9551,3108352,8467,6761714,38.9,15228.2,21330502,32741496,8961095,144128,15006.1
December,2013,12,01-12-2013,31-12-2013,AXIS BANK LTD,2445,9883,243512,0,1310816,19072,2441218,65.5,7522.2,13359067,27475731,4432887,116300,7086.2
February,2014,2,01-02-2014,28-02-2014,BANK OF BARODA,4011,1866,10012,0,84264,1732,103586,5.7,468.4,13319468,10383523,1158662,43211,1384.1
